,Unnamed: 0,fecha,latitud,longitud,url,titulo,tipo_propiedad,precio,moneda,m2,ambientes
0,0,2020_10_11,-34.611270000000005,-58.363780000000006,https://departamento.mercadolibre.com.ar/MLA-763417497-departamento-alquiler-puerto-madero-situar-_JM,Departamento-alquiler - Puerto Madero-situar,Departamento,2900.0,USD,192.0,4.0
1,1,2020_10_11,-34.589847999999996,-58.50942,https://departamento.mercadolibre.com.ar/MLA-797262193-oportunidad-monoambiente-a-estrenar-alquiler-amoblado-_JM,Oportunidad! Monoambiente A Estrenar - Alquiler Amoblado,Departamento,50.0,USD,38.0,1.0
2,2,2020_10_11,-34.60597,-34.60597,https://departamento.mercadolibre.com.ar/MLA-819433769-alquiler-temporario-de-lujo-4p-hospital-italiano-caballito-_JM,Alquiler Temporario De Lujo 4/p Hospital Italiano Caballito,Departamento,101866.0,ARS,57.0,1.0
3,3,2020_10_11,-34.590656,-58.448730000000005,https://departamento.mercadolibre.com.ar/MLA-821035824-excelente-departamento-3-ambientes-2-cuartos-en-congreso-_JM,Excelente Departamento 3 Ambientes (2 Cuartos) En Congreso,Departamento,105000.0,ARS,60.0,3.0
4,4,2020_10_11,-34.624084,-58.38989,https://departamento.mercadolibre.com.ar/MLA-821602190-departamentos-alquil-temporario-centro-cap-fed-bs-as-dia-mes-_JM,Departamentos Alquil Temporario Centro Cap Fed Bs As Dia Mes,Departamento,102100.0,ARS,64.0,3.0
5,5,2020_10_11,-34.591774,-58.3941,https://departamento.mercadolibre.com.ar/MLA-821626725-departamento-alquiler-temporario-en-recoleta-2-huespedes-_JM,Departamento Alquiler Temporario En Recoleta 2 Huéspedes,Departamento,450.0,USD,39.0,2.0
6,6,2020_10_11,-34.59169,-58.440125,https://departamento.mercadolibre.com.ar/MLA-821995794-comodo-dpto-estrategicamente-ubicado-_JM,Comodo Dpto Estrategicamente Ubicado,Departamento,102000.0,ARS,32.0,2.0
7,7,2020_10_11,-34.57841,-58.44041,https://departamento.mercadolibre.com.ar/MLA-822442446-alquiler-temporario-amoblado-av-federico-lacroze-3700-_JM,Alquiler Temporario Amoblado Av. Federico Lacroze 3700,Departamento,103500.0,ARS,65.0,2.0
8,8,2020_10_11,-34.578278000000005,-58.449863,https://departamento.mercadolibre.com.ar/MLA-822442507-departamento-amoblado-temporario-de-catergoria-bs-as-_JM,Departamento Amoblado Temporario De Catergoria Bs As,Departamento,103000.0,ARS,55.0,2.0
9,9,2020_10_11,-34.598644,-58.372609999999995,https://departamento.mercadolibre.com.ar/MLA-822970757-alquiler-departamento-temporario-retiro-microcentro-_JM,Alquiler Departamento Temporario Retiro-microcentro,Departamento,101350.0,ARS,30.0,2.0
10,10,2020_10_11,-34.624309999999994,-58.43425799999999,https://departamento.mercadolibre.com.ar/MLA-823551412-av-jose-maria-moreno-al-500-caballito-_JM,Av Jose Maria Moreno Al 500 - Caballito,Departamento,125000.0,ARS,50.0,2.0
11,11,2020_10_11,-34.58645,-58.39521,https://departamento.mercadolibre.com.ar/MLA-824206014-exclusivo-departamento-2-dormitorios-seguridad-24-hs-_JM,"Exclusivo Departamento 2 Dormitorios, Seguridad 24 Hs",Departamento,120.0,USD,130.0,3.0
12,12,2020_10_11,-34.605854,-58.426388,https://departamento.mercadolibre.com.ar/MLA-824279022-temporario-1-2-y-3-amb-fte-a-hospital-italiano-naval-almagro-_JM,Temporario 1 2 Y 3 Amb Fte A Hospital Italiano Naval Almagro,Departamento,101033.0,ARS,45.0,1.0
13,13,2020_10_11,-34.600227000000004,-58.3784,https://departamento.mercadolibre.com.ar/MLA-824746137-departamento-2-ambientes-19000-por-mes-_JM,Departamento 2 Ambientes. $19000 Por Mes,Departamento,94000.0,ARS,35.0,2.0
14,14,2020_10_11,-34.607285,-58.42935,https://departamento.mercadolibre.com.ar/MLA-825069293-alquiler-temporal-zona-hospital-italiano-_JM,Alquiler Temporal Zona Hospital Italiano,Departamento,101800.0,ARS,30.0,1.0
