"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"19.05.2021","243,12","239,26","243,19","238,90","25,72M","0,02%"
"18.05.2021","243,08","246,32","246,33","242,95","20,17M","-0,86%"
"17.05.2021","245,18","246,59","246,59","243,52","24,97M","-1,20%"
"14.05.2021","248,15","245,57","249,18","245,49","23,90M","2,11%"
"13.05.2021","243,03","241,80","245,55","241,49","29,62M","1,69%"
"12.05.2021","239,00","242,65","244,36","238,16","36,68M","-2,94%"
"11.05.2021","246,23","244,34","246,59","242,59","33,64M","-0,38%"
"10.05.2021","247,18","251,25","251,71","247,18","29,30M","-2,09%"
"07.05.2021","252,46","252,15","254,30","251,17","27,03M","1,09%"
"06.05.2021","249,73","246,31","249,81","244,85","26,49M","1,32%"
"05.05.2021","246,47","249,06","249,50","245,82","21,90M","-0,53%"
"04.05.2021","247,79","250,97","251,21","245,76","32,76M","-1,62%"
"03.05.2021","251,86","253,40","254,35","251,12","19,63M","-0,13%"
"30.04.2021","252,18","249,74","253,08","249,60","30,95M","-0,13%"
"29.04.2021","252,51","255,50","256,10","249,10","40,59M","-0,81%"
"28.04.2021","254,56","256,14","256,42","253,00","46,90M","-2,83%"
"27.04.2021","261,97","261,58","263,18","260,16","31,01M","0,16%"
"26.04.2021","261,55","261,65","262,37","260,46","19,76M","0,15%"
"23.04.2021","261,15","257,88","261,51","257,27","21,50M","1,55%"
"22.04.2021","257,17","260,20","261,75","255,66","25,61M","-1,31%"
"21.04.2021","260,58","258,97","260,65","257,30","24,03M","0,90%"
"20.04.2021","258,26","257,92","260,17","256,87","19,72M","-0,19%"
"19.04.2021","258,74","260,23","261,47","257,84","23,21M","-0,77%"
"16.04.2021","260,74","259,47","261,00","257,60","24,88M","0,48%"
"15.04.2021","259,50","257,77","259,92","257,77","25,63M","1,53%"
"14.04.2021","255,59","257,29","258,76","255,19","23,07M","-1,12%"
"13.04.2021","258,49","257,31","259,19","256,84","23,84M","1,01%"
"12.04.2021","255,91","255,00","257,66","254,64","27,15M","0,02%"
"09.04.2021","255,85","252,87","255,99","252,44","24,33M","1,03%"
"08.04.2021","253,25","252,77","254,14","252,00","23,63M","1,34%"
"07.04.2021","249,90","247,83","250,92","247,20","22,72M","0,82%"
"06.04.2021","247,86","247,78","249,40","246,90","22,93M","-0,49%"
"05.04.2021","249,07","242,90","249,95","242,76","36,91M","2,77%"
"01.04.2021","242,35","238,47","242,84","238,05","30,34M","2,79%"
"31.03.2021","235,77","232,70","239,00","232,49","43,62M","1,69%"
"30.03.2021","231,85","233,58","233,73","231,12","24,79M","-1,44%"
"29.03.2021","235,24","236,69","236,69","231,91","25,23M","-0,52%"
"26.03.2021","236,48","231,55","236,71","231,55","25,48M","1,78%"
"25.03.2021","232,34","235,34","236,90","231,60","34,06M","-1,33%"
"24.03.2021","235,46","237,84","237,91","235,35","25,62M","-0,89%"
"23.03.2021","237,58","237,49","241,03","237,09","31,64M","0,67%"
"22.03.2021","235,99","231,00","236,88","231,00","30,13M","2,45%"
"19.03.2021","230,35","231,02","232,47","229,35","46,43M","-0,16%"
"18.03.2021","230,72","232,47","234,13","230,36","34,85M","-2,67%"
"17.03.2021","237,04","236,25","238,52","233,25","29,56M","-0,28%"
"16.03.2021","237,71","236,40","240,04","235,97","28,09M","1,24%"
"15.03.2021","234,81","234,94","235,00","231,83","26,04M","-0,40%"
"12.03.2021","235,75","234,17","235,75","233,24","22,65M","-0,58%"
"11.03.2021","237,13","235,13","239,17","234,60","29,91M","2,03%"
"10.03.2021","232,42","236,51","236,91","232,11","29,75M","-0,58%"
"09.03.2021","233,78","232,86","235,37","231,83","33,08M","2,81%"
"08.03.2021","227,39","231,20","233,35","227,22","35,27M","-1,82%"
"05.03.2021","231,60","229,52","233,27","226,46","41,87M","2,15%"
"04.03.2021","226,73","226,76","232,48","224,28","44,73M","-0,36%"
"03.03.2021","227,56","232,14","233,45","227,32","34,03M","-2,70%"
"02.03.2021","233,87","237,15","237,15","233,48","22,81M","-1,30%"
"01.03.2021","236,94","235,56","237,44","233,17","25,33M","1,96%"
"26.02.2021","232,38","231,52","235,37","229,54","37,82M","1,48%"
"25.02.2021","228,99","232,24","234,55","227,91","39,54M","-2,37%"
"24.02.2021","234,55","230,01","235,20","229,00","26,34M","0,55%"
"23.02.2021","233,27","230,26","234,83","228,85","30,23M","-0,53%"
"22.02.2021","234,51","237,01","237,91","232,42","36,45M","-2,68%"
"19.02.2021","240,97","243,75","243,86","240,18","25,26M","-1,16%"
"18.02.2021","243,79","241,75","243,90","240,88","16,93M","-0,17%"
"17.02.2021","244,20","241,26","244,26","241,00","21,67M","0,21%"
"16.02.2021","243,70","245,21","246,01","242,95","26,73M","-0,53%"
