,index,Fecha,Último,Apertura,Máximo,Mínimo,Vol.,% var.
0,146,19.10.2020,214.22,220.4,222.25,213.74,"27,63M","-2,48%"
1,145,20.10.2020,214.65,215.7,217.34,213.13,"22,75M","0,20%"
2,144,21.10.2020,214.8,213.33,216.91,213.33,"22,72M","0,07%"
3,143,22.10.2020,214.89,214.0,215.96,211.79,"22,35M","0,04%"
4,142,23.10.2020,216.23,215.03,216.28,213.16,"18,88M","0,62%"
5,141,26.10.2020,210.08,213.73,216.3,208.16,"37,11M","-2,84%"
6,140,27.10.2020,213.25,211.65,214.67,210.33,"36,70M","1,51%"
7,139,28.10.2020,202.68,207.65,208.72,202.13,"51,20M","-4,96%"
8,138,29.10.2020,204.72,204.07,207.36,203.37,"31,43M","1,01%"
9,137,30.10.2020,202.47,203.5,204.29,199.62,"36,98M","-1,10%"
10,136,02.11.2020,202.33,204.29,205.28,200.12,"30,84M","-0,07%"
11,135,03.11.2020,206.43,203.89,208.12,203.12,"27,51M","2,03%"
12,134,04.11.2020,216.39,214.02,218.32,212.42,"42,31M","4,82%"
13,133,05.11.2020,223.29,221.91,224.09,221.29,"36,08M","3,19%"
14,132,06.11.2020,223.72,222.26,224.36,218.03,"25,23M","0,19%"
15,131,09.11.2020,218.39,224.44,228.11,218.13,"44,39M","-2,38%"
16,130,10.11.2020,211.01,214.46,216.5,209.76,"44,05M","-3,38%"
17,129,11.11.2020,216.55,212.56,218.03,212.22,"29,44M","2,63%"
18,128,12.11.2020,215.44,217.0,219.09,214.53,"21,62M","-0,51%"
19,127,13.11.2020,216.51,216.36,217.42,214.16,"18,63M","0,50%"
20,126,16.11.2020,217.23,215.17,217.67,214.57,"24,95M","0,33%"
21,125,17.11.2020,214.46,216.43,217.61,214.09,"24,15M","-1,28%"
22,124,18.11.2020,211.08,213.62,215.13,210.99,"28,37M","-1,58%"
23,123,19.11.2020,212.42,211.57,212.99,209.93,"24,79M","0,63%"
24,122,20.11.2020,210.39,212.2,213.29,210.0,"22,84M","-0,96%"
25,121,23.11.2020,210.11,210.97,212.27,208.18,"25,68M","-0,13%"
26,120,24.11.2020,213.86,210.06,214.24,208.93,"33,98M","1,78%"
27,119,25.11.2020,213.87,214.14,214.91,212.52,"21,01M","0,00%"
28,118,27.11.2020,215.23,214.85,216.27,214.04,"14,51M","0,64%"
29,117,30.11.2020,214.07,214.0,214.75,210.85,"33,06M","-0,54%"
30,116,01.12.2020,216.21,214.51,217.32,213.35,"30,50M","1,00%"
31,115,02.12.2020,215.37,214.89,215.39,212.82,"23,72M","-0,39%"
32,114,03.12.2020,214.24,214.66,216.37,213.72,"25,12M","-0,52%"
33,113,04.12.2020,214.36,214.22,215.38,213.18,"24,67M","0,06%"
34,112,07.12.2020,214.29,214.41,215.47,213.03,"24,62M","-0,03%"
35,111,08.12.2020,216.01,214.13,216.95,212.93,"23,28M","0,80%"
36,110,09.12.2020,211.8,215.22,215.22,211.24,"32,44M","-1,95%"
37,109,10.12.2020,210.52,211.4,213.05,210.39,"26,47M","-0,60%"
38,108,11.12.2020,213.26,210.05,213.32,209.11,"30,98M","1,30%"
39,107,14.12.2020,214.2,212.99,216.18,212.94,"28,80M","0,44%"
40,106,15.12.2020,214.13,215.18,215.23,212.26,"27,02M","-0,03%"
41,105,16.12.2020,219.28,214.75,220.11,214.72,"34,60M","2,41%"
42,104,17.12.2020,219.42,219.7,220.87,217.93,"32,52M","0,06%"
43,103,18.12.2020,218.59,218.59,219.69,216.02,"63,35M","-0,38%"
44,102,21.12.2020,222.59,217.6,223.99,217.31,"37,18M","1,83%"
45,101,22.12.2020,223.94,222.68,225.62,222.22,"22,64M","0,61%"
46,100,23.12.2020,221.02,223.25,223.53,220.87,"18,70M","-1,30%"
47,99,24.12.2020,222.75,221.42,223.61,221.2,"10,55M","0,78%"
48,98,28.12.2020,224.96,224.5,225.99,223.03,"17,93M","0,99%"
49,97,29.12.2020,224.15,226.03,227.15,223.6,"17,40M","-0,36%"
50,96,30.12.2020,221.68,225.0,225.62,221.5,"20,27M","-1,10%"
51,95,31.12.2020,222.42,221.7,223.0,219.68,"20,94M","0,33%"
52,94,04.01.2021,217.69,222.63,222.89,214.9,"37,13M","-2,13%"
53,93,05.01.2021,217.9,217.54,218.48,216.0,"23,82M","0,10%"
54,92,06.01.2021,212.25,212.4,216.45,212.01,"35,93M","-2,59%"
55,91,07.01.2021,218.29,214.03,219.34,213.72,"27,69M","2,85%"
56,90,08.01.2021,219.62,218.68,220.58,217.03,"22,96M","0,61%"
57,89,11.01.2021,217.49,218.46,218.91,216.75,"23,05M","-0,97%"
58,88,12.01.2021,214.93,216.58,217.05,213.34,"23,25M","-1,18%"
59,87,13.01.2021,216.34,214.03,216.75,213.98,"20,09M","0,66%"
60,86,14.01.2021,213.02,216.25,217.43,212.74,"29,35M","-1,53%"
61,85,15.01.2021,212.65,213.52,214.51,212.03,"31,75M","-0,17%"
62,84,19.01.2021,216.44,214.01,216.97,212.65,"30,48M","1,78%"
63,83,20.01.2021,224.34,217.7,225.79,217.29,"37,78M","3,65%"
64,82,21.01.2021,224.97,224.7,226.3,222.42,"30,75M","0,28%"
65,81,22.01.2021,225.95,227.08,230.07,225.8,"30,17M","0,44%"
66,80,25.01.2021,229.53,229.12,229.75,224.33,"33,15M","1,58%"
67,79,26.01.2021,220.0,232.01,234.17,230.08,"49,17M","1,22%"
68,78,27.01.2021,220.0,237.89,240.44,230.17,"69,87M","0,25%"
69,77,28.01.2021,210.0,235.63,242.62,235.1,"49,11M","2,59%"
